,入会时间,飞行次数,平均每公里票价,总里程,时间间隔差值,平均折扣率
569,612.0000000000001,7.0,0.684387554891152,85624.0,234.16666666999998,1.021428571
842,1896.0,6.0,0.539568345323741,73392.0,199.0,1.03
843,731.0,6.0,0.5150425114453892,73392.0,169.8,1.03
984,649.0,11.0,0.4530329984214878,79822.0,270.5,0.892701511
1048,3197.0,9.0,0.9706461841578672,64966.0,281.5,1.066327925
1106,640.0,15.0,0.782992881882892,73334.0,284.14285714,0.920963128
1167,807.0,8.0,0.22931654676259,97856.0,270.42857143000003,0.6775
1461,1308.0,7.0,0.4737515800252804,62499.0,122.83333333,0.9643296690000001
1486,1561.0,18.0,0.44251036116044995,76005.0,263.47058824,0.786949543
1508,1118.0,10.0,0.45745353061976723,75964.0,294.55555556,0.781935522
1583,1593.0,6.0,0.32428602572487464,73392.0,244.60000000000002,0.793333333
1769,458.0,9.0,0.6601466554314502,55777.0,167.25,0.995776395
1847,820.0,6.0,0.5560740685432689,53572.0,277.79999999999995,1.01873068
1853,1000.0,12.0,0.36230549673142437,76027.0,262.63636364,0.717172452
1879,892.0,8.0,0.5159230126688014,57464.0,298.57142857,0.943893568
1883,811.0,9.0,0.5005599502266466,56255.0,238.625,0.9634105409999999
2083,460.0,5.0,0.556223597602908,50895.0,256.5,1.019951469
2097,1507.0,10.0,0.4937215226204571,55746.0,307.77777778,0.9274921970000001
2136,705.0,8.0,0.845650927164978,52310.0,275.42857143000003,0.9802202259999999
2144,714.0,6.0,0.5038025764395468,51544.0,424.4,0.992950489
2206,715.0,10.0,0.5809037353392495,93191.0,415.0,0.541591677
2284,1129.0,6.0,0.30112273817309787,73392.0,259.2,0.676666667
2370,1003.0,14.0,0.4582436128731886,68732.0,170.30769231,0.711088285
2404,819.0,10.0,0.2794622988540547,66059.0,222.22222222,0.735854615
2568,681.0,14.0,0.3353023337019147,68732.0,170.30769231,0.686018157
2661,1373.0,6.0,0.49849030875620914,51335.0,124.8,0.903595013
2669,1542.0,8.0,0.3460505104782375,55830.0,153.28571429,0.8295926920000001
2765,2179.0,8.0,0.3829467038614007,54488.0,248.85714286,0.834387755
2875,1834.0,5.0,0.2570307390451276,61160.0,180.75,0.732
2895,1165.0,5.0,0.2730542838456507,61160.0,181.5,0.73
3049,1418.0,22.0,0.6679125112030663,52441.0,204.04761905000004,0.8301378690000001
