,入会时间,飞行次数,平均每公里票价,总里程,时间间隔差值,平均折扣率
1310,1572.0,6.0,0.5399219389967715,62259.0,93.6,1.017113992
1710,3043.0,16.0,0.8994743331819067,61636.0,185.86666667,0.913205432
1763,1697.0,6.0,0.3997886918102068,62468.0,87.4,0.890073638
1970,2146.0,6.0,0.23980815347721823,73392.0,85.6,0.723333333
2026,3176.0,13.0,0.729704902973935,52254.0,181.33333333000002,1.005550006
2138,2362.0,5.0,0.5332699431469266,50481.0,123.0,1.015233256
2147,2217.0,5.0,0.44207732717721265,55013.0,90.0,0.92993238
2170,2852.0,4.0,0.7378188358404185,48928.0,69.0,1.04
2172,3388.0,16.0,0.2921396966293655,73903.0,167.13333333,0.6882352540000001
2186,3356.0,19.0,0.6742433736449652,63836.0,147.5,0.7943036840000001
2223,2784.0,8.0,0.22193225253723475,75870.0,61.14285714,0.662752076
2275,2621.0,6.0,0.2220950512317419,73392.0,42.599999999999994,0.678333333
2392,1981.0,6.0,0.21664486592544147,73392.0,75.0,0.663333333
2393,3390.0,6.0,0.2983976455199477,73392.0,24.799999999999997,0.663333333
2445,1576.0,9.0,0.5426451545165016,57146.0,67.875,0.8441565459999999
2454,2218.0,17.0,0.7898723134269173,50436.0,114.4375,0.9551502890000001
2476,2748.0,9.0,0.37117652196698403,57245.0,58.375,0.8367280990000001
2483,2071.0,7.0,0.27684280149922835,68035.0,118.5,0.702750937
2494,3272.0,5.0,0.2701111837802485,61160.0,193.75,0.78
2514,3139.0,23.0,0.83898180904733,47771.0,53.18181818,0.9956521740000001
2558,2753.0,13.0,0.5440044004400441,50904.0,217.5,0.927162895
2601,2481.0,8.0,0.21801371122376606,76142.0,165.71428571,0.615665992
2632,2693.0,22.0,0.6055886856313966,49636.0,118.14285713999999,0.939592836
2647,2575.0,10.0,0.339320987654321,64800.0,90.22222221999999,0.7175753090000001
2664,2342.0,6.0,0.5992080950285966,45460.0,131.4,1.0197140340000002
2699,2838.0,18.0,0.5734634384764432,57287.0,163.76470588,0.804222598
2776,3040.0,26.0,0.44097465340988656,35705.0,80.44,1.2712620079999999
2781,2198.0,6.0,0.25499600319744203,62550.0,102.4,0.724888889
2794,3195.0,23.0,0.781374757895569,50598.0,79.31818182,0.894726274
2799,2229.0,5.0,0.24525833878351866,61160.0,45.0,0.74
2836,2494.0,18.0,0.3800900579869772,61738.0,116.11764706,0.7288205
2925,2127.0,4.0,0.3719751471550033,48928.0,94.0,0.9075
