,入会时间,飞行次数,平均每公里票价,总里程,时间间隔差值,平均折扣率
97,1082.0,17.0,2.902464319619622,125349.0,36.62500000000001,1.226505277
348,1276.0,28.0,1.1973778934544246,72232.0,174.7037037,1.4345135119999999
357,805.0,28.0,1.1049125277582192,73852.0,62.66666667,1.3861765419999998
500,2465.0,33.0,1.2284998345231903,63453.0,55.3125,1.447113927
557,1668.0,11.0,1.1009581241200583,80261.0,160.1,1.09967805
566,2866.0,31.0,1.2586829349824502,59830.0,59.466666669999995,1.463755474
589,1594.0,35.0,1.2240638135269393,62808.0,69.02941176,1.37325484
612,2197.0,33.0,1.229270547832117,60566.0,109.34375,1.400179804
630,2555.0,6.0,1.1751962066710269,73392.0,145.2,1.141666667
646,2556.0,37.0,1.4330040135844397,58302.0,110.80555556,1.428155295
660,668.0,25.0,1.0781440571693608,58213.0,115.25,1.413954787
666,1412.0,31.0,1.1783547199840843,60318.0,35.066666670000004,1.35912265
705,1346.0,34.0,1.1856476657385422,58541.0,84.09090909,1.375456688
725,1046.0,27.0,0.961291829073339,55673.0,96.42307692,1.42926697
734,1569.0,32.0,1.1402467334350335,60308.0,67.96774194,1.3146624
755,2133.0,27.0,1.2391937248502605,53927.0,71.03846154,1.4536389930000002
765,3133.0,34.0,1.244889668543994,54155.0,62.96969697,1.4419512509999999
769,724.0,31.0,1.2323164294295388,54938.0,107.76666667,1.418710546
802,1319.0,31.0,1.3481789182178288,57054.0,46.56666667000001,1.348767483
806,1697.0,39.0,1.2587566167361188,53274.0,69.73684211,1.441390547
813,1978.0,34.0,1.2766989364342862,52371.0,81.45454545,1.462471215
820,2185.0,30.0,1.209168327595579,55190.0,86.06896552,1.382804856
821,1261.0,21.0,1.0440427886388786,54220.0,135.75,1.4073332719999998
825,1406.0,18.0,1.2447306294971656,70739.0,44.0,1.077664372
833,2255.0,42.0,1.3504997171412407,53030.0,90.7804878,1.431651895
836,3345.0,30.0,1.1789405915805287,55918.0,90.31034482999999,1.3558616190000001
854,393.0,38.0,1.2127131448305632,55596.0,31.891891889999997,1.351954277
855,1399.0,31.0,1.2239854785953057,55642.0,65.33333333,1.3507072
871,1186.0,39.0,1.2411536639708078,57001.0,103.28947368,1.311457343
874,2925.0,31.0,1.2442929370307951,52216.0,100.73333333,1.4311883330000001
878,949.0,22.0,0.9547414580668737,54730.0,37.857142859999996,1.361512333
966,2530.0,26.0,0.9260661065313888,50464.0,80.52,1.4205865569999998
971,2325.0,28.0,1.0276904747231979,48681.0,71.74074074,1.4704897190000001
999,2411.0,28.0,1.3006278468546104,48738.0,76.33333333,1.457490254
1003,1630.0,17.0,0.9602734085481347,60715.0,83.625,1.166852837
