,入会时间,飞行次数,平均每公里票价,总里程,时间间隔差值,平均折扣率
1255,499.0,7.0,0.5263376192451265,62686.0,125.83333333,1.026835338
1626,1190.0,5.0,0.46272073250490514,61160.0,27.25,0.94
1712,729.0,6.0,0.26365271419228253,73392.0,110.0,0.7666666670000001
1809,378.0,12.0,0.37352019124783487,69857.0,108.27272727,0.7894326979999999
1839,647.0,6.0,0.2547961630695444,73392.0,114.8,0.745
2215,848.0,6.0,0.23231414868105515,73392.0,75.0,0.686666667
2278,773.0,7.0,0.2844429284628981,64498.0,54.99999999999999,0.7710477840000001
2387,872.0,5.0,0.4616585365853659,51250.0,71.25,0.9504854629999999
2417,1039.0,7.0,0.34986728069333844,62538.0,82.83333333,0.7747996420000001
2430,473.0,7.0,0.30795467358214,70952.0,79.33333333,0.681428571
2456,413.0,9.0,0.25929678638941406,66125.0,157.5,0.72832983
2497,977.0,12.0,0.34040822474956695,66385.0,102.63636364,0.718209535
2521,775.0,8.0,0.346986140167364,61184.0,69.28571429,0.776353295
2522,731.0,14.0,0.7949189921336413,57587.0,91.76923077000001,0.824759928
2536,463.0,9.0,0.4251785531216895,58526.0,125.5,0.8084781120000001
2622,375.0,10.0,0.2634844226514381,66892.0,104.77777778000001,0.698374843
2641,1172.0,9.0,0.2703903379314499,66404.0,89.375,0.701145262
2652,911.0,16.0,0.5948274271799886,54209.0,116.33333333,0.856861038
2743,571.0,14.0,0.4905148268992002,69266.0,33.69230768999999,0.65992435
2818,608.9999999999999,5.0,0.25506867233485936,61160.0,91.0,0.738
2855,835.0,13.0,0.3074895834866978,67921.0,145.25,0.661141915
2927,394.0,12.0,0.2666787706730928,60586.0,66.54545455,0.7328531340000001
2937,1130.0,8.0,0.3707471972004407,61724.0,99.71428571,0.7171809990000001
2953,551.0,5.0,0.24198822759973837,61160.0,79.25,0.722
2966,1028.0,7.0,0.4453956117021277,60160.0,91.66666667,0.732795545
2987,420.0,5.0,0.24607586657946373,61160.0,64.0,0.718
3080,893.0,5.0,0.23871811641595814,61160.0,93.25,0.708
3125,533.0,6.0,0.337414645632211,50964.0,121.8,0.842516286
3154,1442.0,9.0,0.37264697719220913,61251.00000000001,116.25,0.698475617
3206,498.0,17.0,0.7966936469150886,52384.0,102.875,0.810960408
3216,598.0,5.0,0.23790058862001306,61160.0,79.0,0.6940000000000001
3272,519.9999999999999,29.0,0.15121028920893537,42841.0,43.25000000000001,0.9834532340000001
3324,451.0,19.0,0.5756568400803227,59261.0,39.111111109999996,0.706842105
3335,530.0000000000001,15.0,0.29091136783444477,63881.99999999999,78.07142857,0.654688645
3419,532.0,20.0,0.43405547952064627,59914.0,101.52631579,0.691208733
3514,518.0,13.0,0.4105353419866837,59476.0,75.25,0.686060428
3528,398.0,5.0,0.22155003270111184,61160.0,103.5,0.6659999999999999
3567,1075.0,18.0,0.7194558841881942,48078.0,94.58823529,0.842777778
3576,415.0,10.0,0.3168848554661353,64241.0,149.55555556000002,0.629673729
3620,533.0,19.0,0.4503528701362418,52994.0,49.61111111,0.7597914859999999
3643,1258.0,15.0,0.39500280264297727,58873.0,106.5,0.681921934
3654,376.0,5.0,0.5584297317253261,40630.0,106.25,0.986912872
