,入会时间,飞行次数,平均每公里票价,总里程,时间间隔差值,平均折扣率
0,2706.0,210.0,0.8157984009422834,580717.0,14.516746411,0.9616390429999999
1,2597.0,140.0,1.154042863272019,293678.0,11.805755395999995,1.25231444
2,2615.0,135.0,1.1582167832167831,283712.0,12.701492536999979,1.254675516
3,2047.0,23.0,0.859648249779623,281336.0,45.136363640000006,1.090869565
4,1816.0,152.0,0.823617098164735,309928.0,42.21192053,0.970657895
5,2241.0,92.0,0.6426328563911944,294585.0,44.956043956,0.967692483
6,2931.0,101.0,0.8185875237770083,287042.0,20.810000000000002,0.965346535
7,1452.0,73.0,0.6872924137450823,287230.0,34.888888890000004,0.962070222
8,1028.0,56.0,0.4976748815667099,321489.0,80.94545455,0.828478237
9,1365.0,64.0,0.38799010328628486,375073.99999999994,61.66666667,0.7080101529999999
10,1229.0,43.0,0.6130879002186914,262013.0,78.16666667,0.988658044
11,3425.0,145.0,0.80974660880201,271438.0,36.972222222,0.95253487
12,2685.0,29.0,0.307054729122412,321529.0,89.0,0.799126984
13,2714.0,118.0,1.25504417482759,179514.0,31.803418803,1.398381742
14,1519.0,50.0,0.5480751072881914,270067.0,85.12244898,0.9219848409999999
15,2194.0,22.0,0.5285594386526983,234721.0,70.80952381,1.0260845859999999
16,1355.0,101.0,1.085484030168785,172231.0,34.16,1.3865249
17,1237.0,40.0,0.45572564752252254,284160.0,59.41025641,0.8378442429999999
18,2916.0,64.0,1.1380684703409345,169358.0,36.79365079,1.4015962640000001
19,945.0,38.0,0.3401843218302413,332896.0,55.32432432,0.70828541
20,2070.0,106.0,1.1508919114611071,167113.0,24.561904761999998,1.369404116
21,1028.0,23.0,1.1418239433337993,214590.0,102.09090909,1.0616309240000001
22,3277.0,94.0,0.4378902538902539,305250.0,34.52688171999999,0.741803833
23,1448.0,20.0,0.556965554456336,222380.0,77.21052632,1.004904443
24,1506.0,44.0,0.4056458165535398,281837.0,50.11627907,0.7873084440000001
25,1264.0,62.0,0.6414389717409326,243674.0,109.75409836,0.9029900190000001
26,2615.0,213.0,1.2417024537428758,187917.0,33.566037736,1.146354614
27,3362.0,73.99999999999999,1.2411272152537243,148685.0,41.50684931499999,1.4333644280000002
28,3005.0,101.0,1.2691024263333521,159129.0,21.92,1.33816985
29,2114.0,87.0,1.2487035523336059,149254.0,27.732558139999995,1.424714581
30,2911.0,53.0,1.1574377411921486,144076.0,47.53846154000001,1.4692242980000003
31,3413.0,95.0,1.3087156917338127,149053.0,72.425531915,1.414895104
32,3276.0,130.99999999999997,0.7984095805347865,220948.00000000003,44.50769230800001,0.9448842709999999
33,2933.0,95.0,1.1615697544981685,148227.0,29.287234042999998,1.3986401940000002
34,2677.0,47.0,0.46431978228544174,285144.0,89.19565217,0.725685618
35,1630.0,25.0,0.7450371842514826,220389.0,48.58333333,0.937899941
36,3333.0,24.0,0.9027042404893237,189813.0,164.17391304,1.087220053
37,2923.0,54.0,1.2207258956684537,141012.00000000003,42.62264151,1.462104927
38,2519.0,166.0,0.8024971326149244,229303.0,26.618181817999996,0.890172305
39,1858.0,81.0,1.2942500656871587,140819.0,37.4375,1.4291794430000002
